SampleID.x	X1	Moisture	SoilpH	WDRFBuffer	SolubleSalt	OrganicMatter	CO2C	TotalN	OrganicN	TotalOrganicC	Nitrate	Ammonium	InorganicNitrogen	TotalPhosphorus	InorganicPhosphorus	OrganicPhosphorus	Potassium	Calcium	Aluminum	Iron	Sulfur	Zinc	Manganese	Copper	Magnesium	Sodium	MAC	OrganicCN	OrganicNInorganicN	OrganicNRelease	OrganicNReserve	OrganicPRelease	OrganicPReserve	SoilHealthCalculation	AvailableN	AvailableP	AvailableK	pcoa1	pcoa2	SampleID.y	Treatment	Plot	SubPlot	Depth	Date	Burn	Disturbance	richness	virome
2B1AD	BDV7	111.0933984	5.5	6.1	0.04	14.5	246	10	6.9	111	1.8	5.2	6.9	3	1	2.3	70	501	344	39	2.8	0.63	14.1	0.16	66	13	221.9	16.1	1	6.9	0	2.3	0	20.48	4.1	7.5	84	-0.057958404	-0.038830689	2B1AD	Burn	B1	B1A	3-6cm	4/5/2021	Before	no	3399	yes
2B1AS	BSV7	67.43041932	5.4	5.8	0.05	31.4	344	12.2	7.1	105	0.7	8.5	9.2	11	6	4.9	51	663	171	33	4.5	1.46	31.4	0.17	79	13	327.7	14.7	0.8	7.1	0	4.9	0	24.31	9.8	25.1	60.9	-0.094742884	-0.039896626	2B1AS	Burn	B1	B1A	0-3cm	4/5/2021	Before	no	3570	yes
2B1BD	BDV8	29.5154987	5.5	6.1	0.04	14.5	246	10	6.9	111	1.8	5.2	6.9	3	1	2.3	70	501	344	39	2.8	0.63	14.1	0.16	66	13	221.9	16.1	1	6.9	0	2.3	0	20.48	4.1	7.5	84	-0.292455085	0.015457098	2B1BD	Burn	B1	B1B	3-6cm	4/5/2021	Before	no	3015	yes
2B1BS	BSV8	32.84337707	5.4	5.8	0.05	31.4	344	12.2	7.1	105	0.7	8.5	9.2	11	6	4.9	51	663	171	33	4.5	1.46	31.4	0.17	79	13	327.7	14.7	0.8	7.1	0	4.9	0	24.31	9.8	25.1	60.9	-0.380721172	-0.031045244	2B1BS	Burn	B1	B1B	0-3cm	4/5/2021	Before	no	3787	yes
2B2AD	BDV9	44.79802134	5.3	5.4	0.03	35.5	230	9.1	6.7	87	0.8	9.1	9.8	2	0.9	1.6	54	522	216	51	2.7	1.04	21.9	0.12	91	12	265.6	12.9	0.7	6.7	0	1.6	0	18.83	5	5.7	65.1	-0.135437657	0.048063168	2B2AD	Burn	B2	B2A	3-6cm	4/5/2021	Before	no	2443	yes
2B2AS	BSV9	83.26623115	5	5.4	0.04	38.6	274	10.6	6.9	107	1.6	10.5	12.1	2	0.7	1.8	48	536	182	44	2.4	1.22	23.3	0.14	92	13	255.9	15.6	0.6	6.9	0	1.8	0	22.4	11.4	5.7	57.6	-0.140922235	0.035152346	2B2AS	Burn	B2	B2A	0-3cm	4/5/2021	Before	no	2892	yes
2B2BD	BDV10	33.02777589	5.3	5.4	0.03	35.5	230	9.1	6.7	87	0.8	9.1	9.8	2	0.9	1.6	54	522	216	51	2.7	1.04	21.9	0.12	91	12	265.6	12.9	0.7	6.7	0	1.6	0	18.83	5	5.7	65.1	0.035884401	-0.058777489	2B2BD	Burn	B2	B2B	3-6cm	4/5/2021	Before	no	3085	yes
2B2BS	BSV10	53.88824872	5	5.4	0.04	38.6	274	10.6	6.9	107	1.6	10.5	12.1	2	0.7	1.8	48	536	182	44	2.4	1.22	23.3	0.14	92	13	255.9	15.6	0.6	6.9	0	1.8	0	22.4	11.4	5.7	57.6	0.000986266	-0.050472969	2B2BS	Burn	B2	B2B	0-3cm	4/5/2021	Before	no	3483	yes
2B3AD	BDV11	62.50281108	5.7	6.2	0.06	23.6	184	21.2	12.5	146	5.9	12.1	17.9	2	0.5	1.8	69	989	301	54	4.1	0.4	10.7	0.04	110	16	126	11.7	0.7	12.5	0	1.8	0	19.5	9.1	5.1	83.1	0.048238708	-0.16061464	2B3AD	Burn	B3	B3A	3-6cm	4/5/2021	Before	no	3474	yes
2B3AS	BSV11	147.5865931	5.3	5.8	0.11	41.5	344	33.8	20.1	374	2.1	45.4	47.4	3	0.9	2.1	88	1093	196	44	12.6	1.29	40.2	0.11	140	16	92.1	18.6	0.4	20.1	0	2.1	0	30.98	40.5	6.9	105.4	-0.012927221	-0.076148407	2B3AS	Burn	B3	B3A	0-3cm	4/5/2021	Before	no	1875	yes
